Index	NumberPSM	Gene	MaxPepProb	Protein	Protein ID	Entry Name	Protein Description	Organism	Indistinguishable Proteins	ReferenceIntensity	_126	_127N	_127C	_128N	_128C	_129N	_129C	_130N	_130C	_131N	_131C	_132N	_132C	_133N	_133C	_134N
P19021	4	PAM	0.999	sp|P19021|AMD_HUMAN	P19021	AMD_HUMAN	Peptidyl-glycine alpha-amidating monooxygenase	Homo sapiens		21.236540982819744	21.00291217811294	21.577516832730424	21.365900430392895	21.050596482449972	21.8908724951767	21.307858541194488	21.40301904059701	21.77719195271109	21.58906697243214	21.42694089744508	20.471526057755252	21.905687074260822	NA	NA	21.15314405090176	21.299755367446267
P19022	2	CDH2	1.0	sp|P19022|CADH2_HUMAN	P19022	CADH2_HUMAN	Cadherin-2	Homo sapiens		20.50594061275138	20.05385288266131	20.319082647879295	20.52586662539586	20.74346875955977	20.765442215265825	20.357651963988573	21.06853920293161	19.946814190596672	20.53712246791536	20.751954933966825	20.44875947943512	21.340400583746987	NA	NA	20.83102771221634	20.559178830856307
P19320	5	VCAM1	1.0	sp|P19320|VCAM1_HUMAN	P19320	VCAM1_HUMAN	Vascular cell adhesion protein 1	Homo sapiens		24.038905142427133	23.300199376066846	24.88148658179583	24.04983396521298	24.29028045996634	25.263819879148524	24.207735869909662	23.94539274661341	24.01893401098817	23.00896486836167	24.031421843852602	23.32924149194448	25.03142747891446	NA	NA	24.152714288463343	24.079477470584443
P19367	2	HK1	0.9994	sp|P19367|HXK1_HUMAN	P19367	HXK1_HUMAN	Hexokinase-1	Homo sapiens		21.291619806552674	21.869941987135313	20.498660589763706	21.069386074948024	19.88774725491026	19.621785629993802	21.674133107090466	20.691339047804124	19.97237720922305	20.154986309209285	19.230757206479346	23.195273752198165	19.15040801273193	19.30866190225428	20.151794740094534	21.278784026411255	21.128662581707776
P19652	18	ORM2	1.0	sp|P19652|A1AG2_HUMAN	P19652	A1AG2_HUMAN	Alpha-1-acid glycoprotein 2	Homo sapiens		29.691252983927697	29.079969509602446	30.779336802763	29.89949350752856	29.81278134652747	30.2868065714867	29.799251709460396	29.86684022758522	29.675872008897585	30.662812954927492	30.08064147009373	29.113089880966992	29.493911209013014	29.393129031846538	29.405709833322906	29.650430387215426	29.67939187972849
P19823	35	ITIH2	1.0	sp|P19823|ITIH2_HUMAN	P19823	ITIH2_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H2	Homo sapiens		30.286293743315053	30.28701256729759	30.811541264405527	30.31898828158049	30.460128473251597	30.641229075843217	30.533702793804963	30.030671290097548	30.663535311213852	30.63017156257541	30.591721603478504	30.184278694632827	30.663585353392936	30.218050800894815	30.51116301193827	30.31265885051159	30.27693818728394
P19827	26	ITIH1	1.0	sp|P19827|ITIH1_HUMAN	P19827	ITIH1_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H1	Homo sapiens		30.73121623087529	30.606178683206238	31.27557096917545	30.73593304815676	30.92770327823281	30.849119149335685	31.062133155192353	30.51578081982199	31.26830891045477	31.12975188113584	31.033705831263653	30.792102476628624	30.860943461760147	30.49540154346256	30.65660263214429	30.79362973287002	30.758198862000402
P19971	2	TYMP	0.9989	sp|P19971|TYPH_HUMAN	P19971	TYPH_HUMAN	Thymidine phosphorylase	Homo sapiens		20.107243787512513	20.649040974449683	19.555253628192748	19.700352573870084	19.314235975602763	19.247232814780332	19.63714986999287	20.005706656641582	19.74863794114887	19.570199819764017	19.389184679393935	21.384816400888955	19.421567386809237	NA	NA	19.52657315054333	20.257895100790286
P20073	3	ANXA7	0.9994	sp|P20073|ANXA7_HUMAN	P20073	ANXA7_HUMAN	Annexin A7	Homo sapiens		22.980092585083536	22.279353221197812	NA	NA	NA	NA	22.195155459281022	NA	22.209778231801707	NA	NA	23.098567007123997	NA	NA	NA	22.398345968370048	NA
P20340	1	RAB6A	0.9919	sp|P20340|RAB6A_HUMAN	P20340	RAB6A_HUMAN	Ras-related protein Rab-6A	Homo sapiens	sp|Q9NRW1|RAB6B_HUMAN	20.821462259590696	21.61487595896902	19.52830757519949	20.768195468058188	19.039885085852596	18.83314172669043	21.442805158042024	20.518535516544183	19.06163844731803	20.782218484486133	18.20078134454667	22.760592651199726	18.723400003944462	NA	NA	20.995306459379062	20.8567672369619
